Stock Name ,BSE Scrip,Quandl API code,"Moneybhai 
Primary
Ticker"
,,,
Alkem Labs ,539523,BSE/BOM539523,AL05
Bajaj Finance,500034,BSE/BOM500034,BAF
BPCL,500547,BSE/BOM500547,BPC
Cipla,500087,BSE/BOM500087,C
Colgate,500830,BSE/BOM500830,CPI
Godfrey Phillip,500163,BSE/BOM500163,GPI
HDFC AMC,541729,NA on Quandl,HAM02
HDFC Life,540777,NA on Quandl,HSL01
HDFC Bank,500180,BSE/BOM500180,HDF01
Hindustan Unilever Ltd,500696,BSE/BOM500696,HU
Ion Exchange,500214,BSE/BOM500214,IEI
ICICI Prudentia,540133,BSE/BOM555555,IPL01
IRCTC,542830,NA on Quandl,IRC
Gillette India ,507815,BSE/BOM507815,GI22
ITC,500875,BSE/BOM500875,ITC
Jubilant Foodworks,533155,BSE/BOM533155,JF04
MAS Financial Services,540749,NA on Quandl,MFS09
Reliance ,500325,BSE/BOM500325,RI
TCS,532540,BSE/BOM532540,TCS